biome_name,restoration_potential_Mha
Tropical & Subtropical Moist Broadleaf Forests,97.1
Tropical & Subtropical Dry Broadleaf Forests,32.8
Tropical & Subtropical Coniferous Forests,7.1
Temperate Broadleaf & Mixed Forests,109
Temperate Conifer Forests,35.9
Boreal Forests/Taiga,178
"Tropical & Subtropical Grasslands, Savannas & Shrublands",189.5
"Temperate Grasslands, Savannas & Shrublands",72.5
Flooded Grasslands & Savannas,9
Montane Grasslands & Shrublands,19.3
Tundra,50.6
"Mediterranean Forests, Woodlands & Scrub",18.8
Deserts & Xeric Shrublands,77.6
Mangroves,2.6
